,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"beta_station[Gucheng, RAIN_z]",0.4581498032366131,1.2626634694668715,-1.0519812543505822,1.7121873172308437,2.5355449486824813,15.83594283212852,2.232964385947488,0.885882884633422,0.10681626974887681
"beta_station[Gucheng, lag_logpm25_z]",1.4594273997413831,0.2915663751589583,1.175169056038427,1.8547335689686852,2.5392034227525224,2.0107238605898123,2.231805444080693,0.20160075342568207,0.05051415717616247
"beta_station[Gucheng, sin_doy]",0.5656149741738924,0.9674340014450977,-0.3991395911879528,1.651479989016438,2.54637058770776,2.0107238605898123,2.236453966281011,0.680876239450049,0.05063306382685174
"beta_station[Gucheng, cos_doy]",1.4567223263429159,1.7427670743870844,-0.2791013372138984,3.4607816032546825,2.542414016231165,2.0107238605898123,2.233389298881039,1.2253886474399096,0.11027057831676555
"beta_station[Huairou, TEMP_z]",-1.1102315943547787,0.792451254840904,-2.0956845557625656,-0.3272165310349291,2.5471736016840008,18.668202204420115,2.2319290950005803,0.5536498524707338,0.08447624098799608
"beta_station[Huairou, PRES_z]",-0.10307766361570941,0.6743891859058944,-0.8896395926224646,0.5679369979025414,2.5435741358755974,16.803283226165252,2.2320255785919874,0.47379792053725966,0.047981689163925326
"beta_station[Huairou, DEWP_z]",2.0850374475416653,1.4364044905820552,0.6534771429782448,3.718245176797303,2.5530583846748183,2.0107238605898123,2.2319945059530935,1.010426618491046,0.08331819193049776
"beta_station[Huairou, WSPM_z]",-1.1054921231775419,0.18088158268303622,-1.395379393236035,-0.9426523180706244,2.701403228658672,16.418778779703878,2.232047783538599,0.11729157545277435,0.04937168470456796
"beta_station[Huairou, RAIN_z]",-0.5115354153956121,0.1678389201944423,-0.8265265741862877,-0.23129404668642023,126.06074581993408,15.042977922343296,2.236284896163612,0.016536793698199492,0.015530424420888717
"beta_station[Huairou, lag_logpm25_z]",1.6666189024136608,0.08903632164296314,1.602966535815422,1.831695735574782,3.5941799032238784,2.1741312323134436,2.231716841638915,0.04737930570968029,0.04538218010813167
"beta_station[Huairou, sin_doy]",0.35266509016767394,1.1680672716201004,-0.8131540046623329,1.6394510491476484,2.5403484576596673,2.0107238605898123,2.2324091578619685,0.8226391295509502,0.050914941327101136
"beta_station[Huairou, cos_doy]",1.4549189117038093,1.7189698151921773,-0.25663763697627023,3.4400789807862804,2.541176512665254,2.0107238605898123,2.2332601065174456,1.2083353078186496,0.11304868182048615
"beta_station[Nongzhanguan, TEMP_z]",-1.0828325850239542,0.8776156576997661,-2.1636973052243347,-0.21397433686140935,2.5500332090854076,17.49813513505004,2.2318273313161616,0.6140258419792807,0.0866783192205008
"beta_station[Nongzhanguan, PRES_z]",-0.18638253606755287,0.5596296305141873,-0.8512167998929341,0.3693348764059791,2.535938271373752,16.212682958297595,2.2319386278907287,0.3925724370905362,0.04591377863291317
"beta_station[Nongzhanguan, DEWP_z]",1.9924596807573864,1.4944783424816073,0.5025343683615637,3.681501447803599,2.547932771073956,2.0107238605898123,2.2343703912689756,1.051586069509722,0.08217992889034605
"beta_station[Nongzhanguan, WSPM_z]",-0.4264312161067437,0.8974128104037276,-1.4455159060660423,0.46783776339605104,2.532724005644607,15.482235735458769,2.232044097923282,0.6312612202356902,0.053198041046978645
"beta_station[Nongzhanguan, RAIN_z]",-0.400221480370508,0.4197140120613411,-1.043089887238009,-0.011589718394062408,2.539673229122142,15.066216660869365,2.2318043518246062,0.2785010504892151,0.12566752401044057
"beta_station[Nongzhanguan, lag_logpm25_z]",1.3502850220862874,0.32735539512886686,1.0295004007109465,1.771912436576195,2.541236815421182,2.0107238605898123,2.2317114174832486,0.2272458177636095,0.04222626091948848
"beta_station[Nongzhanguan, sin_doy]",0.4935292256050078,1.0411644722933109,-0.5452721703190558,1.6484522585832253,2.5392767188186895,2.0107238605898123,2.239872238074613,0.7330710835730947,0.04947612915527822
"beta_station[Nongzhanguan, cos_doy]",1.4464020337777697,1.7483009183450289,-0.2945892391278113,3.4625971639327013,2.5376122889239383,2.0107238605898123,2.2356691392133685,1.2291154496574155,0.11328682276526215
"beta_station[Shunyi, TEMP_z]",-1.0218589837787704,0.8829262194623678,-2.1146005704042996,-0.14748403467264048,2.5434637124062953,16.457153528291087,2.232271523040279,0.618024372245369,0.0861536605385231
"beta_station[Shunyi, PRES_z]",-0.03696235266886682,0.7469858144472896,-0.8898210722163398,0.7072102118414968,2.5388352593544,16.374797261586714,2.231934878785578,0.5253281695486459,0.046813171189913114
"beta_station[Shunyi, DEWP_z]",1.7282581697847021,1.7942570633060182,-0.062158288802575,3.7190731854908807,2.544539188601989,2.0107238605898123,2.2327859034538413,1.2634287801536754,0.08303682949685312
"beta_station[Shunyi, WSPM_z]",-0.9560985942665025,0.2974191874968245,-1.382129594748304,-0.6722215644345919,2.5488944176377277,17.240482116972274,2.2322878728180036,0.20210136797097686,0.054250646915335765
"beta_station[Shunyi, RAIN_z]",-0.2940364890864874,0.28853184683107663,-0.8110933321760906,-0.06179212661787476,3.249321125791746,17.887435699929654,2.2341441286731367,0.1698095871876066,0.09146466708828273
"beta_station[Shunyi, lag_logpm25_z]",1.369849618476963,0.35617133761433556,1.0184608430278699,1.816794613842585,2.544312518111991,2.0107238605898123,2.232133266201335,0.2485453895189577,0.04077905242988941
"beta_station[Shunyi, sin_doy]",0.5692839660696362,0.9736184288108582,-0.40178161456235456,1.658390745990701,2.537049830906166,2.0107238605898123,2.2416861446259935,0.6853287908652969,0.0498568978966144
"beta_station[Shunyi, cos_doy]",1.4474595171785538,1.7205576113608816,-0.26575920651437446,3.4296599716423937,2.544100450409709,2.0107238605898123,2.234212777720869,1.209459995030288,0.11249521641266937
"beta_station[Tiantan, TEMP_z]",-1.0791419966313918,0.8804670832875754,-2.1696596559290136,-0.20726566984418415,2.5585841950637525,16.778622834037904,2.233119959212962,0.6160898329507353,0.08724007794505931
"beta_station[Tiantan, PRES_z]",0.08627973028461687,0.8433784316177093,-0.8682071869677137,0.9270071208153791,2.5487689556192485,19.35241140918054,2.231718869881255,0.5933848603954638,0.04726145002187182
"beta_station[Tiantan, DEWP_z]",1.9822019437105656,1.513487282553548,0.4731629737145569,3.6909043187647788,2.544980737718445,2.0107238605898123,2.23245662044635,1.0650450453780984,0.08178813821974572
"beta_station[Tiantan, WSPM_z]",-0.4541411712737599,0.8553206570946068,-1.4356555349861155,0.3975579807926657,2.5463729452716026,16.236610921402075,2.2331402314147617,0.6012875136626592,0.055183306133385464
"beta_station[Tiantan, RAIN_z]",0.2957563827720457,1.1511312405599963,-1.1262139794655162,1.4326811299770248,2.53734295496353,15.858182830663754,2.2322644488714034,0.8041228672466793,0.13973059332247834
